country,count,backers_count,pledged
United States,6845,358306,187773457.29999998
United Kingdom,1778,86943,31414556.4
Canada,627,27215,7781110.1000000015
Australia,245,9985,3589031.1999999997
Hong Kong,174,37893,31283598.20000001
Germany,148,5768,5264424.6
Italy,127,7514,2815405.6
France,96,8585,1473481.1
Spain,72,3581,841824.3
India,62,1483,183218.80000000002
Singapore,62,3366,6720009.300000001
China,61,6974,20114806.6
Netherlands,59,3997,1605154.5
Greece,49,1009,321635.39999999997
Mexico,49,1195,1553057.3
Japan,48,2031,1132445.8
Ireland,44,2002,213195.40000000002
South Africa,42,632,47526.5
Sweden,39,2444,1024693.8
Switzerland,39,2961,6951540.199999999
